Date,Power [kWh],Power-1 [kWh],Hour,Temperature [C],Holiday
2019-01-09 17:00:00,97.428,96.83,17,15.494166666666668,0
2019-01-09 18:00:00,100.579,97.428,18,13.900833333333331,0
2019-01-09 19:00:00,95.166,100.579,19,13.430833333333334,0
2019-01-09 20:00:00,98.467,95.166,20,12.820833333333333,0
2019-01-09 21:00:00,94.335,98.467,21,12.080833333333333,0
2019-01-09 22:00:00,94.365,94.335,22,11.706666666666663,0
2019-01-09 23:00:00,96.01,94.365,23,11.706666666666663,0
2019-01-10 00:00:00,117.733,96.01,0,10.6975,0
2019-01-10 01:00:00,108.075,117.733,1,9.525,0
2019-01-10 02:00:00,112.416,108.075,2,10.099166666666669,0
2019-01-10 03:00:00,106.732,112.416,3,9.870833333333334,0
2019-01-10 04:00:00,111.404,106.732,4,9.885,0
2019-01-10 05:00:00,109.771,111.404,5,9.800833333333332,0
2019-01-10 06:00:00,128.371,109.771,6,9.7125,0
2019-01-10 07:00:00,411.236,128.371,7,9.228333333333332,0
2019-01-10 08:00:00,362.104,411.236,8,9.249166666666666,0
2019-01-10 09:00:00,390.479,362.104,9,9.513333333333334,0
2019-01-10 10:00:00,453.085,390.479,10,9.496666666666666,0
2019-01-10 11:00:00,477.216,453.085,11,9.856666666666667,0
2019-01-10 12:00:00,488.286,477.216,12,10.533333333333331,0
2019-01-10 13:00:00,504.785,488.286,13,11.685,0
2019-01-10 14:00:00,552.529,504.785,14,13.305833333333332,0
2019-01-10 15:00:00,515.127,552.529,15,14.1025,0
2019-01-10 16:00:00,557.823,515.127,16,14.541666666666666,0
2019-01-10 17:00:00,528.095,557.823,17,13.766666666666666,0
2019-01-10 18:00:00,455.599,528.095,18,13.1675,0
2019-01-10 19:00:00,233.274,455.599,19,12.289166666666668,0
2019-01-10 20:00:00,148.676,233.274,20,11.521666666666668,0
2019-01-10 21:00:00,123.322,148.676,21,10.750833333333333,0
2019-01-10 22:00:00,109.196,123.322,22,10.4275,0
2019-01-10 23:00:00,109.2,109.196,23,9.8,0
2019-01-11 00:00:00,107.932,109.2,0,9.118333333333334,0
2019-01-11 01:00:00,105.032,107.932,1,8.291666666666666,0
2019-01-11 02:00:00,105.237,105.032,2,7.825833333333333,0
2019-01-11 03:00:00,104.117,105.237,3,7.269083333333334,0
2019-01-11 04:00:00,107.839,104.117,4,6.798000000000001,0
2019-01-11 05:00:00,104.101,107.839,5,6.441333333333333,0
2019-01-11 06:00:00,230.904,104.101,6,6.135416666666667,0
2019-01-11 07:00:00,203.026,230.904,7,5.876166666666666,0
2019-01-11 08:00:00,190.582,203.026,8,5.959083333333333,0
2019-01-11 09:00:00,173.741,190.582,9,6.597416666666667,0
2019-01-11 10:00:00,126.112,173.741,10,7.010416666666667,0
2019-01-11 11:00:00,130.169,126.112,11,7.893333333333333,0
2019-01-11 12:00:00,127.005,130.169,12,9.37,0
2019-01-11 13:00:00,128.443,127.005,13,10.201666666666666,0
2019-01-11 14:00:00,127.916,128.443,14,10.843333333333334,0
2019-01-11 15:00:00,131.264,127.916,15,11.5775,0
2019-01-11 16:00:00,127.707,131.264,16,11.7175,0
2019-01-11 17:00:00,132.147,127.707,17,10.933333333333332,0
2019-01-11 18:00:00,127.093,132.147,18,10.408333333333331,0
2019-01-11 19:00:00,116.256,127.093,19,9.9175,0
2019-01-11 20:00:00,110.053,116.256,20,9.545833333333333,0
2019-01-11 21:00:00,105.455,110.053,21,9.3475,0
2019-01-11 22:00:00,107.87,105.455,22,9.188333333333334,0
2019-01-11 23:00:00,103.211,107.87,23,8.614166666666668,0
2019-01-12 00:00:00,101.171,103.211,0,7.600833333333333,0
2019-01-12 01:00:00,100.991,101.171,1,6.617583333333333,0
2019-01-12 02:00:00,98.453,100.991,2,6.424333333333333,0
2019-01-12 03:00:00,98.938,98.453,3,6.219166666666666,0
2019-01-12 04:00:00,101.973,98.938,4,5.956583333333334,0
2019-01-12 05:00:00,97.535,101.973,5,5.768583333333333,0
2019-01-12 06:00:00,98.664,97.535,6,5.493666666666667,0
2019-01-12 07:00:00,104.107,98.664,7,5.510916666666667,0
2019-01-12 08:00:00,99.225,104.107,8,5.955333333333333,0
2019-01-12 09:00:00,97.973,99.225,9,6.273583333333334,0
2019-01-12 10:00:00,106.693,97.973,10,7.0183333333333335,0
2019-01-12 11:00:00,100.643,106.693,11,8.238333333333333,0
2019-01-12 12:00:00,100.291,100.643,12,9.375,0
2019-01-12 13:00:00,104.048,100.291,13,10.825833333333334,0
2019-01-12 14:00:00,101.538,104.048,14,11.73,0
2019-01-12 15:00:00,100.185,101.538,15,12.661666666666669,0
2019-01-12 16:00:00,106.279,100.185,16,12.600833333333334,0
2019-01-12 17:00:00,98.598,106.279,17,11.975833333333334,0
2019-01-12 18:00:00,99.106,98.598,18,11.366666666666667,0
2019-01-12 19:00:00,100.145,99.106,19,10.581666666666669,0
2019-01-12 20:00:00,103.989,100.145,20,10.4575,0
2019-01-12 21:00:00,97.191,103.989,21,10.210833333333332,0
2019-01-12 22:00:00,99.225,97.191,22,10.035,0
2019-01-12 23:00:00,100.029,99.225,23,9.8975,0
2019-01-13 00:00:00,99.828,100.029,0,9.589166666666667,0
2019-01-13 01:00:00,97.938,99.828,1,8.570833333333333,0
2019-01-13 02:00:00,101.342,97.938,2,7.6525,0
2019-01-13 03:00:00,99.13,101.342,3,8.130833333333333,0
2019-01-13 04:00:00,97.773,99.13,4,7.232333333333333,0
2019-01-13 05:00:00,99.421,97.773,5,6.34375,0
2019-01-13 06:00:00,100.629,99.421,6,6.290166666666667,0
2019-01-13 07:00:00,100.085,100.629,7,6.335333333333334,0
2019-01-13 08:00:00,101.76,100.085,8,6.703583333333333,0
2019-01-13 09:00:00,105.083,101.76,9,7.595833333333334,0
2019-01-13 10:00:00,105.156,105.083,10,8.015,0
